epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,2567.36,0.21294,0.52178,0.83847,0.77099,0.97247,0.874,0.87064,0.16977,0.52058,0.78119,7.7662e-05,7.7662e-05,7.7662e-05
124,2586.37,0.21358,0.50799,0.83912,0.78139,0.96388,0.8729,0.87024,0.16902,0.50928,0.78142,7.7233e-05,7.7233e-05,7.7233e-05
125,2605.36,0.21501,0.50297,0.84185,0.76375,0.97375,0.87321,0.869,0.16728,0.51353,0.78131,7.6804e-05,7.6804e-05,7.6804e-05
126,2624.24,0.21181,0.51173,0.83639,0.78011,0.96561,0.86695,0.8641,0.16733,0.50393,0.78117,7.6375e-05,7.6375e-05,7.6375e-05
127,2643.13,0.21407,0.49918,0.83678,0.7449,0.9856,0.87315,0.86957,0.16951,0.51277,0.78196,7.5946e-05,7.5946e-05,7.5946e-05
128,2662.18,0.21089,0.49903,0.83376,0.74946,0.98189,0.8704,0.86684,0.17115,0.50825,0.78209,7.5517e-05,7.5517e-05,7.5517e-05
129,2681.18,0.21101,0.49404,0.83613,0.77409,0.95845,0.86492,0.86189,0.17469,0.51103,0.78266,7.5088e-05,7.5088e-05,7.5088e-05
130,2700.13,0.21242,0.49643,0.84307,0.7665,0.97535,0.87289,0.86807,0.17139,0.52205,0.78278,7.4659e-05,7.4659e-05,7.4659e-05
131,2719.14,0.20955,0.49605,0.83958,0.75304,0.98577,0.87017,0.86699,0.17044,0.50943,0.78079,7.423e-05,7.423e-05,7.423e-05
132,2738.13,0.20772,0.48606,0.8354,0.78567,0.9424,0.8628,0.85995,0.16861,0.51962,0.78106,7.3801e-05,7.3801e-05,7.3801e-05
133,2757.05,0.21005,0.49766,0.83663,0.77286,0.96919,0.87891,0.8758,0.17144,0.5208,0.78239,7.3372e-05,7.3372e-05,7.3372e-05
134,2775.9,0.21047,0.48973,0.83699,0.77548,0.96904,0.87278,0.86991,0.17121,0.51717,0.78218,7.2943e-05,7.2943e-05,7.2943e-05
135,2794.86,0.21162,0.48608,0.83858,0.76782,0.96171,0.86928,0.86696,0.16894,0.53045,0.78096,7.2514e-05,7.2514e-05,7.2514e-05
136,2813.74,0.20702,0.48664,0.83701,0.76377,0.97874,0.87341,0.86978,0.17041,0.51748,0.78265,7.2085e-05,7.2085e-05,7.2085e-05
137,2832.6,0.19958,0.48796,0.83143,0.76465,0.97003,0.86125,0.85821,0.16853,0.51675,0.78076,7.1656e-05,7.1656e-05,7.1656e-05
138,2851.44,0.20807,0.4836,0.83538,0.7815,0.94121,0.85766,0.85463,0.16755,0.52542,0.78128,7.1227e-05,7.1227e-05,7.1227e-05
139,2870.68,0.21074,0.48414,0.83524,0.75817,0.97146,0.8677,0.86486,0.17336,0.53245,0.78361,7.0798e-05,7.0798e-05,7.0798e-05
140,2889.32,0.20939,0.4951,0.83855,0.73873,0.98178,0.86244,0.85965,0.16728,0.52267,0.7815,7.0369e-05,7.0369e-05,7.0369e-05
141,2907.92,0.20419,0.47112,0.83613,0.77001,0.96569,0.8721,0.86921,0.16557,0.52432,0.78014,6.994e-05,6.994e-05,6.994e-05
