epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,2834.23,0.21678,0.47608,0.84464,0.77174,0.95956,0.87301,0.87012,0.17578,0.48417,0.79323,6.8224e-05,6.8224e-05,6.8224e-05
146,2853.13,0.21412,0.47997,0.84431,0.76823,0.97903,0.8859,0.88189,0.16951,0.47391,0.79049,6.7795e-05,6.7795e-05,6.7795e-05
147,2872.17,0.21751,0.48489,0.8475,0.77747,0.95463,0.88077,0.87702,0.17193,0.48431,0.79133,6.7366e-05,6.7366e-05,6.7366e-05
148,2891.07,0.2088,0.46317,0.84139,0.78568,0.93889,0.88012,0.87662,0.16861,0.48258,0.79061,6.6937e-05,6.6937e-05,6.6937e-05
149,2910.01,0.2123,0.46806,0.8481,0.7622,0.95856,0.89341,0.89048,0.16974,0.50535,0.79141,6.6508e-05,6.6508e-05,6.6508e-05
150,2928.98,0.21177,0.46268,0.8414,0.76872,0.95971,0.88281,0.87905,0.16958,0.48779,0.79163,6.6079e-05,6.6079e-05,6.6079e-05
151,2947.88,0.20885,0.46122,0.83486,0.78275,0.93715,0.87622,0.87368,0.16801,0.50206,0.79059,6.565e-05,6.565e-05,6.565e-05
152,2966.76,0.21262,0.47144,0.84985,0.76656,0.97572,0.88682,0.88378,0.16721,0.48935,0.78999,6.5221e-05,6.5221e-05,6.5221e-05
153,2985.71,0.20812,0.46526,0.84321,0.76646,0.96226,0.87975,0.87642,0.17006,0.49509,0.79135,6.4792e-05,6.4792e-05,6.4792e-05
154,3005.56,0.21204,0.46533,0.84492,0.77421,0.96249,0.87572,0.87291,0.16629,0.49031,0.78899,6.4363e-05,6.4363e-05,6.4363e-05
155,3025.88,0.21279,0.46439,0.84377,0.77433,0.94843,0.87434,0.86954,0.17401,0.48353,0.79199,6.3934e-05,6.3934e-05,6.3934e-05
156,3045.82,0.21199,0.44727,0.8388,0.77263,0.96418,0.88502,0.88103,0.17055,0.48079,0.79125,6.3505e-05,6.3505e-05,6.3505e-05
157,3066.25,0.20832,0.4576,0.84081,0.7698,0.96286,0.88606,0.88338,0.16727,0.47822,0.78984,6.3076e-05,6.3076e-05,6.3076e-05
158,3086.86,0.21412,0.45449,0.84576,0.74431,0.97882,0.88405,0.87992,0.17005,0.4874,0.79125,6.2647e-05,6.2647e-05,6.2647e-05
159,3108.16,0.20808,0.46083,0.83786,0.76056,0.97311,0.87789,0.87545,0.16899,0.48921,0.78999,6.2218e-05,6.2218e-05,6.2218e-05
160,3129.26,0.20541,0.44124,0.83454,0.76847,0.95372,0.88558,0.8832,0.16503,0.48785,0.78793,6.1789e-05,6.1789e-05,6.1789e-05
161,3150.49,0.21223,0.45515,0.84594,0.77185,0.96103,0.88748,0.88441,0.16545,0.48797,0.78814,6.136e-05,6.136e-05,6.136e-05
162,3171.54,0.21298,0.45107,0.83833,0.75297,0.9785,0.88229,0.87911,0.16732,0.48146,0.78921,6.0931e-05,6.0931e-05,6.0931e-05
163,3192.58,0.20817,0.45501,0.84048,0.77695,0.94684,0.8854,0.8817,0.16927,0.49809,0.79006,6.0502e-05,6.0502e-05,6.0502e-05
164,3211.95,0.2037,0.44466,0.84035,0.77646,0.95151,0.88153,0.87742,0.16533,0.493,0.78852,6.0073e-05,6.0073e-05,6.0073e-05
165,3231.83,0.20889,0.44699,0.84139,0.77221,0.95603,0.87717,0.87343,0.16899,0.4919,0.78947,5.9644e-05,5.9644e-05,5.9644e-05
166,3252.47,0.20683,0.44754,0.83664,0.77157,0.95123,0.87393,0.87013,0.1676,0.48508,0.7894,5.9215e-05,5.9215e-05,5.9215e-05
